Local time,Open,High,Low,Close,Volume
01.02.2021 00:00:00.000 GMT-0500,0.89187,0.89199,0.89155,0.89171,1055.5601
01.02.2021 01:00:00.000 GMT-0500,0.89172,0.89179,0.89136,0.89153,993.15
01.02.2021 02:00:00.000 GMT-0500,0.89153,0.89222,0.89146,0.89187,2582.9299
01.02.2021 03:00:00.000 GMT-0500,0.89188,0.89512,0.89127,0.89511,8633.9502
01.02.2021 04:00:00.000 GMT-0500,0.89511,0.89570,0.89411,0.89479,6945.9502
01.02.2021 05:00:00.000 GMT-0500,0.89479,0.89646,0.89463,0.89567,4636.1602
01.02.2021 06:00:00.000 GMT-0500,0.89569,0.89611,0.89493,0.89519,3303.5701
01.02.2021 07:00:00.000 GMT-0500,0.89519,0.89554,0.89451,0.89531,3518.2
01.02.2021 08:00:00.000 GMT-0500,0.89531,0.89606,0.89490,0.89575,4580.29
01.02.2021 09:00:00.000 GMT-0500,0.89575,0.89581,0.89436,0.89514,6082.3901
01.02.2021 10:00:00.000 GMT-0500,0.89514,0.89587,0.89412,0.89560,7097.7202
01.02.2021 11:00:00.000 GMT-0500,0.89562,0.89664,0.89531,0.89659,4814.8501
01.02.2021 12:00:00.000 GMT-0500,0.89657,0.89685,0.89623,0.89641,3452.76
01.02.2021 13:00:00.000 GMT-0500,0.89641,0.89691,0.89584,0.89667,2869.95
01.02.2021 14:00:00.000 GMT-0500,0.89669,0.89691,0.89614,0.89681,2053.75
01.02.2021 15:00:00.000 GMT-0500,0.89682,0.89724,0.89650,0.89724,3026
01.02.2021 16:00:00.000 GMT-0500,0.89724,0.89724,0.89674,0.89675,696
01.02.2021 17:00:00.000 GMT-0500,0.89669,0.89704,0.89658,0.89685,465.28
01.02.2021 18:00:00.000 GMT-0500,0.89688,0.89696,0.89639,0.89652,894.16
01.02.2021 19:00:00.000 GMT-0500,0.89652,0.89704,0.89652,0.89671,1631.54
01.02.2021 20:00:00.000 GMT-0500,0.89671,0.89676,0.89571,0.89582,1557.83
01.02.2021 21:00:00.000 GMT-0500,0.89583,0.89607,0.89567,0.89589,1053.89
01.02.2021 22:00:00.000 GMT-0500,0.89588,0.89616,0.89580,0.89611,1292.58
01.02.2021 23:00:00.000 GMT-0500,0.89608,0.89668,0.89607,0.89664,886.57
02.02.2021 00:00:00.000 GMT-0500,0.89664,0.89676,0.89635,0.89640,1190.63
02.02.2021 01:00:00.000 GMT-0500,0.89640,0.89742,0.89639,0.89677,1246.7
02.02.2021 02:00:00.000 GMT-0500,0.89676,0.89761,0.89669,0.89733,2848.72
02.02.2021 03:00:00.000 GMT-0500,0.89732,0.89750,0.89471,0.89485,5598.8398
02.02.2021 04:00:00.000 GMT-0500,0.89486,0.89641,0.89466,0.89616,3813.02
02.02.2021 05:00:00.000 GMT-0500,0.89616,0.89798,0.89599,0.89786,6650.96
02.02.2021 06:00:00.000 GMT-0500,0.89784,0.89832,0.89735,0.89828,3440.1699
