train/n_updates,train/policy_loss,time/total_timesteps,time/time_elapsed,train/value_loss,train/learning_rate,time/fps,train/explained_variance,train/entropy_loss,time/iterations,train/std,train/reward
99,0.05841272324323654,500,0,6.302472114562988,0.0007,807,0.04631495475769043,-1.4451082944869995,100,1.0267081260681152,-1.7176487
199,-0.7073248028755188,1000,1,0.2642577588558197,0.0007,868,-0.07541429996490479,-1.4374988079071045,200,1.0180439949035645,1.8862199
299,0.48812294006347656,1500,1,0.9221404790878296,0.0007,890,-0.3349679708480835,-1.4346915483474731,300,1.0151612758636475,-0.6502686
399,0.4706302285194397,2000,2,0.1747794896364212,0.0007,903,0.3096000552177429,-1.4424858093261719,400,1.0235238075256348,-0.06767541
499,0.29610592126846313,2500,2,0.028985336422920227,0.0007,897,-0.2513551712036133,-1.453784704208374,500,1.0373514890670776,-0.022268457
599,1.4758485555648804,3000,3,1.7024126052856445,0.0007,902,0.12560248374938965,-1.464556336402893,600,1.0461145639419556,-0.7365179
699,-1.8620296716690063,3500,3,1.0110390186309814,0.0007,907,-34.66707992553711,-1.468674659729004,700,1.0499999523162842,0.08496344
799,-3.0567288398742676,4000,4,5.2442426681518555,0.0007,912,-1.1920928955078125e-07,-1.4576776027679443,800,1.0392600297927856,-0.03953115
899,-1.0679268836975098,4500,4,8.992851257324219,0.0007,916,0.020289838314056396,-1.458054780960083,900,1.041036605834961,1.3257825
999,2.7779839038848877,5000,5,9.909785270690918,0.0007,919,-0.029581665992736816,-1.4612321853637695,1000,1.0430161952972412,0.0
1099,5.091734886169434,5500,5,7.109786033630371,0.0007,921,0.1540929079055786,-1.4645578861236572,1100,1.048290491104126,0.0
1199,-3.1958019733428955,6000,6,10.340219497680664,0.0007,924,-1.1920928955078125e-07,-1.4706741571426392,1200,1.053971290588379,0.28271362
1299,-7.617743492126465,6500,7,37.56869125366211,0.0007,925,0.3039467930793762,-1.4702670574188232,1300,1.053183913230896,0.0
1399,-2.187505006790161,7000,7,2.170046091079712,0.0007,927,-0.046176910400390625,-1.4744690656661987,1400,1.0568265914916992,0.0
1499,0.011998215690255165,7500,8,3.0936047551222146e-05,0.0007,929,0.0,-1.4814867973327637,1500,1.0649226903915405,0.0
1599,0.4585854113101959,8000,8,0.05580145865678787,0.0007,930,-1.1920928955078125e-07,-1.495972990989685,1600,1.0823265314102173,0.0
1699,9.968513268177048e-07,8500,9,8.253808877686786e-13,0.0007,931,0.0,-1.5124366283416748,1700,1.098258137702942,-0.7194295
